song_name,artist_name,spotify_id
No Woman No Cry,Bob Marley,3PQLYVskjUeRmRIfECsL0X
Three Little Birds,Bob Marley,7yFvSYKk3g5g8e7Ffl16ws
Redemption Song,Bob Marley,26PwuMotZqcczKLHi4Htz3
Is This Love,Bob Marley,6JRLFiX9NJSoRRKxowlBYr
Buffalo Soldier,Bob Marley,7BfW1eoDh27W69nxsmRicb
Could You Be Loved,Bob Marley,5O4erNlJ74PIF6kGol1ZrC
Get Up Stand Up,Bob Marley,6kWVX5hqeimzfH8bk34L7h
Stir It Up,Bob Marley,1XjUvJv6w3aTu8o6XszTHS
Sweat (A La La La La Long),Inner Circle,1nXTM2CVdaoCySSD5kgt3J
Bad Boys,Inner Circle,1NojrDCqDLh4dWRZ7F589Q
Electric Avenue,Eddy Grant,5WeuqW7eiIj27OiB1hV2BF
Kingston Town,UB40,1YnVYHXoak0syv4xBRHQRb
Red Red Wine,UB40,4POgt5ayni68MeLqclubcC
Here I Am,UB40,1ti85OealKe0Yq23ws9n0e
Bam Bam,Sister Nancy,1p2ea5Dy0tOnt9q4wfy4aX
Pass the Dutchie,Musical Youth,1BkY0N8ChFk2mdLbAUu8ZK
Police and Thieves,Junior Murvin,2XsW8N3mMRD5blv4KGNHq6
Many Rivers to Cross,Jimmy Cliff,1dZxI6OuzwJ283y3gOU1Kq
The Harder They Come,Jimmy Cliff,2XIr0KTybGQsC1SFfeaZhI
Israelites,Desmond Dekker,6zsH33Xbm0gAtBTx9R2vP0
Monkey Man,Toots & The Maytals,3V92kxWqO9oIJAQ1jEnqUT
Pressure Drop,Toots & The Maytals,2GImcOxFZ0GP49rmPnPOjT
Chase the Devil,Max Romeo,6KGggJ08SRmMuJojRYM4Lv
Legalize It,Peter Tosh,73lYI49LhfsscO33ohrGN0
Johnny Was,Bob Marley,26dLrtjPbmRssms1NUYYxX
Natural Mystic,Bob Marley,5uqQyRJV8qLt8zEqnvsBVK
Sun Is Shining,Bob Marley,2pZJhvpin385eqAFRp3ASJ
Roots Rock Reggae,Bob Marley,1ATZfYmZOcm24vl5oQtPdC
War,Bob Marley,1TLTUhEUYOyORxufZlCOWj
Could You Be Loved,Bob Marley,5O4erNlJ74PIF6kGol1ZrC
Three Little Birds,Bob Marley & The Wailers,7yFvSYKk3g5g8e7Ffl16ws
One Love,Bob Marley & The Wailers,7oNgPClUYdscWWHa5PF1gT
No Woman No Cry,Bob Marley & The Wailers,3PQLYVskjUeRmRIfECsL0X
Redemption Song,Bob Marley & The Wailers,26PwuMotZqcczKLHi4Htz3
Could You Be Loved,Bob Marley & The Wailers,5O4erNlJ74PIF6kGol1ZrC
Is This Love,Bob Marley & The Wailers,6JRLFiX9NJSoRRKxowlBYr
Buffalo Soldier,Bob Marley & The Wailers,7BfW1eoDh27W69nxsmRicb
Get Up Stand Up,Bob Marley & The Wailers,6kWVX5hqeimzfH8bk34L7h
Jamming,Bob Marley & The Wailers,3GIChxHmuLmBm5PTNZGDtj
Waiting in Vain,Bob Marley & The Wailers,09Nck1nvRcg1Y14SNfWwtJ
Exodus,Bob Marley & The Wailers,1lRkDJ9hMuiE1GZOlbgkam
Satisfy My Soul,Bob Marley & The Wailers,5Uv1YNz6uBepPLDdoFANKQ
Natural Mystic,Bob Marley & The Wailers,5uqQyRJV8qLt8zEqnvsBVK
I Shot the Sheriff,Bob Marley & The Wailers,5uBKhKWTJ4E47rcLQqu3YH
Stir It Up,Bob Marley & The Wailers,1XjUvJv6w3aTu8o6XszTHS
Positive Vibration,Bob Marley & The Wailers,2eHOlLD5glnSYlfWXYGTbd
Iron Lion Zion,Bob Marley & The Wailers,5iRPNyWioH9Km8gi58As4V
The Sun Is Shining,Bob Marley & The Wailers,1ROZwbJBndwmp5Cl2ig7TB
Legalize It,Peter Tosh,73lYI49LhfsscO33ohrGN0
Stepping Razor,Peter Tosh,5PxJMuvCFAEbAGaG0J4mLr
Johnny B. Goode,Peter Tosh,5uPYEStMW3KsXnnLV7iCTw
Bush Doctor,Peter Tosh,4SWkHr15YgPdLG25gJpJiX
Mama Africa,Peter Tosh,3dSrZUvO2Ec2dxT3XLcGFb
Equal Rights,Peter Tosh,4NwoSdQ9QLQiPtB8sgeCB7
Night Nurse,Gregory Isaacs,4DQttwipnILl88cru3BRZx
Cool Down the Pace,Gregory Isaacs,4llIZen1Cn4mi3DJm2Lqlz
Rumours,Gregory Isaacs,7KgBcYOBw10rNhmabCuNPt
Private Secretary,Gregory Isaacs,6iFe072popYvbh8nOFJMIx
Many Rivers to Cross,Jimmy Cliff,1dZxI6OuzwJ283y3gOU1Kq
The Harder They Come,Jimmy Cliff,2XIr0KTybGQsC1SFfeaZhI
You Can Get It If You Really Want,Jimmy Cliff,1Pao4DTLMB4gJPTnqmLgSQ
I Can See Clearly Now,Jimmy Cliff,2RcbRwAFUxaiO3rszuEqsz
Wonderful World Beautiful People,Jimmy Cliff,7vCEPLGrLHqBHyRPPsweYY
Vietnam,Jimmy Cliff,6vugFDrXTwpMjVtvFohQHa
007 (Shanty Town),Desmond Dekker,0lwHFB5OUlBeiXyaEOKJd6
Israelites,Desmond Dekker,6zsH33Xbm0gAtBTx9R2vP0
It Miek,Desmond Dekker,2KLQHmIj0ncGRdnLbbqi9B
Rudy Got Soul,Desmond Dekker,15uyAL1Qzitqb9PnzigSUg
Police and Thieves,Junior Murvin,2XsW8N3mMRD5blv4KGNHq6
Hold On I'm Coming,Junior Murvin,
Cool Out Son,Junior Murvin,36uCxILh6zUAiZBhUqvzJH
War Ina Babylon,Max Romeo,5Me6F9y6iArvYxyuP30m14
Chase the Devil,Max Romeo,6KGggJ08SRmMuJojRYM4Lv
One Step Forward,Max Romeo,10cWT3YV2nclBxQc26BXBE
"The Upsetter,Lee ""Scratch"" Perry",,
"I Am a Madman,Lee ""Scratch"" Perry",,
"Zion's Blood,Lee ""Scratch"" Perry",,
"Disco Devil,Lee ""Scratch"" Perry",,
Police in Helicopter,John Holt,0mD19MC6H0OzHvEUADHypU
The Tide Is High,The Paragons,1GUcIBgJB2AX0Ex6J6SKXM
Stick By Me,John Holt,3I5Ut6jkOFDOPRPthOXKAw
Ali Baba,John Holt,50KuIVVziGxgon2vP16ioK
Bam Bam,Sister Nancy,1p2ea5Dy0tOnt9q4wfy4aX
One Two,Sister Nancy,4CzVVIrkZE2IulKqwQiqh1
Transport Connection,Sister Nancy,5q3IH8h5ZubdGQaXXlYgH3
54-46 That's My Number,Toots & The Maytals,0tlcswAprjTe8n4t5wWtw5
Pressure Drop,Toots & The Maytals,2GImcOxFZ0GP49rmPnPOjT
Monkey Man,Toots & The Maytals,3V92kxWqO9oIJAQ1jEnqUT
Funky Kingston,Toots & The Maytals,26WPI2aksB9XdqmeLfca5z
Sweet and Dandy,Toots & The Maytals,4TGfQRisk1rx5P3SRj79sk
Reggae Got Soul,Toots & The Maytals,3rBNw2u7vtt3HZZECb9Xqj
Rivers of Babylon,The Melodians,75gMrQKXJctiyN6IOkj6WE
Sweet Sensation,The Melodians,6aC8NTVpetj62Ajixqzlsb
Pass the Dutchie,Musical Youth,1BkY0N8ChFk2mdLbAUu8ZK
Youth of Today,Musical Youth,4GoBCdgyWu88SUaR7zJrAq
Zungguzungguguzungguzeng,Yellowman,4czopM9AcLjrH4IunzRoBg
Nobody Move Nobody Get Hurt,Yellowman,3xjAzw6zWtxKS4t36cOQKN
Mad Over Me,Yellowman,1CwymEj7ZbRXFuhIKO8LK5
Operation Eradication,Yellowman,0hYSqal9QXgtEXgFCkGIz3
King Tubby Meets Rockers Uptown,Augustus Pablo,0Rvtj66lo8oTWubx6GA1nR
Java,Augustus Pablo,4nCz1YGWAfKJgBiNTED0D8
Cassava Piece,Augustus Pablo,56ogFIkiGEMnyXhr91gVL7
Point Blank,Augustus Pablo,6wLG3db1nqftaYJPIyBogx
Satta Massagana,The Abyssinians,38oW0dIcUuovidm2jzZnUP
Declaration of Rights,The Abyssinians,2Iiiy9TUiCGVXl0dUC5YEK
Forward on to Zion,The Abyssinians,3K9DX72fdugKWyHiEAWZ8i
Y Mas Gan,The Abyssinians,2J9zJP3T8dH5wrkPYvFoK1
Guess Who's Coming to Dinner,Black Uhuru,5KA5o4azieJAG8O4BOTvJO
Shine Eye Gal,Black Uhuru,5SZSHOAVA5jsIzd3EcuheW
Solidarity,Black Uhuru,4nA41lYYb6W4RjeESgFC1X
Sinsemilla,Black Uhuru,7ERRjAcL8i6vdKkaRGDdQc
What Is Life?,Black Uhuru,1iDUFCadhKjxSKEgjnJR5n
Murder She Wrote,Chaka Demus & Pliers,1HGyhNaRUFEDBiVLbvtbL6
Tease Me,Chaka Demus & Pliers,6Q7vgiFhulRp5cK7sDbjqa
Twist and Shout,Chaka Demus & Pliers,4wrS2dvdYei9jZN0JlUBP6
World-A-Music,Ini Kamoze,2SE11vmjbi7j5QKJ885ib6
Here Comes the Hotstepper,Ini Kamoze,3QRM0qZB7oMYavveH0iEqx
Trouble You a Trouble Me,Ini Kamoze,74HgOVhTKdjQ1viBzUmg9s
Greetings,Half Pint,6nr2aNTBIM1zQfhyfPMggE
Winsome,Half Pint,1n6B6IlrHiz4c051Q3LA16
One Big Family,Half Pint,4nDLZEIqmN7nJiMj9G0OPH
Ghetto Classics,Bounty Killer,
Can't Believe My Eyes,Bounty Killer,5S5kqI73dUD7hw6XWv1lFx
Look into My Eyes,Bounty Killer,6emTRX5vVUCGf4Gxgqh3HL
Informers,Bounty Killer,
Buju Banton,Untold Stories,
Champion,Buju Banton,0zozxbHUZn5Z4QIwul2ye5
Wanna Be Loved,Buju Banton,5aFGaBVSGM3WZ4nu26goEQ
